model,acc,precision,recall,F1,epochs,seed
patience dynamic 50,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,401,85329037
patience dynamic 50,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,206,36687537
patience dynamic 50,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,201,97226012
patience dynamic 50,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,191,83140807
patience dynamic 50,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,201,66306997
patience dynamic 50,0.6853146853146853,0.6700143472022956,0.645935960591133,0.6489936180657829,201,39587039
patience dynamic 50,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,203,70291817
patience dynamic 50,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,271,89089901
patience dynamic 50,0.6993006993006993,0.7030529953917051,0.6447044334975369,0.6448333622133657,351,47338124
patience dynamic 50,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,302,10872248
h dynamic 01,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,764,95822412
h dynamic 01,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,1073,24942603
h dynamic 01,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,756,13356886
h dynamic 01,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,908,46913810
h dynamic 01,0.6993006993006993,0.6947089947089947,0.6510673234811166,0.6534798534798535,239,42868828
h dynamic 01,0.7062937062937062,0.70236240913811,0.659995894909688,0.6634917077543703,1496,39958838
h dynamic 01,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,610,28728463
h dynamic 01,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,830,23756669
h dynamic 01,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,516,83197857
h dynamic 01,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,492,21668732
h dynamic 01,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,418,89254563
h dynamic 01,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,608,66629388
h dynamic 01,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,375,14265799
h dynamic 01,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,318,13999315
h dynamic 01,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,358,22575562
h dynamic 01,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,537,39345092
h dynamic 01,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,757,41227216
h dynamic 01,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,481,77827638
h dynamic 01,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,725,90801586
h dynamic 01,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,431,13561597
h dynamic 01,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,867,85329037
h dynamic 01,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,520,36687537
h dynamic 01,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,575,97226012
h dynamic 01,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,324,83140807
h dynamic 01,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,488,66306997
h dynamic 01,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,266,39587039
h dynamic 01,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,466,70291817
h dynamic 01,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,593,89089901
h dynamic 01,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,511,47338124
h dynamic 01,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,539,10872248
h dynamic 05,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,1017,95822412
h dynamic 05,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,344,24942603
h dynamic 05,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,682,13356886
h dynamic 05,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,1038,46913810
h dynamic 05,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,985,42868828
h dynamic 05,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,813,39958838
h dynamic 05,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,413,28728463
h dynamic 05,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,489,23756669
h dynamic 05,0.6993006993006993,0.6947089947089947,0.6510673234811166,0.6534798534798535,1072,83197857
